id,title,info
19995,Avatar,in the 22nd century  a paraplegic marine is dispatched to the moon pandora on a unique mission  but becomes torn between following orders and protecting an alien civilization. jamescameron action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d ingeniousfilmpartners twentiethcenturyfoxfilmcorporation duneentertainment lightstormentertainment samworthington zoesaldana sigourneyweaver release in the year 2009 lang en longMovie
285,Pirates of the Caribbean: At World's End,"captain barbossa  long believed to be dead  has come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite as it seems. goreverbinski adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany ""loveofoneslife"" traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger waltdisneypictures jerrybruckheimerfilms secondmateproductions johnnydepp orlandobloom keiraknightley release in the year 2007 lang en longMovie"
206647,Spectre,a cryptic message from bond’s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive  bond peels back the layers of deceit to reveal the terrible truth behind spectre. sammendes action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom columbiapictures danjaq b24 danielcraig christophwaltz léaseydoux release in the year 2015 lang en mediumLength
49026,The Dark Knight Rises,following the death of district attorney harvey dent  batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department. eight years later  batman encounters the mysterious selina kyle and the villainous bane  a new terrorist leader who overwhelms gothams finest. the dark knight resurfaces to protect a city that has branded him an enemy. christophernolan action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman legendarypictures warnerbros. dcentertainment syncopy christianbale michaelcaine garyoldman release in the year 2012 lang en longMovie
49529,John Carter,john carter is a war-weary  former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict. its a world on the brink of collapse  and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands. andrewstanton action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d waltdisneypictures taylorkitsch lynncollins samanthamorton release in the year 2012 lang en mediumLength
559,Spider-Man 3,"the seemingly invincible spider-man goes up against an all-new crop of villain – including the shape-shifting sandman. while spider-man’s superpowers are altered by an alien organism  his alter ego  peter parker  deals with nemesis eddie brock and also gets caught up in a love triangle. samraimi fantasy action adventure dualidentity amnesia sandstorm ""loveofoneslife"" forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge columbiapictures lauraziskinproductions marvelenterprises tobeymaguire kirstendunst jamesfranco release in the year 2007 lang en mediumLength"
38757,Tangled,when the kingdoms most wanted-and most charming-bandit flynn rider hides out in a mysterious tower  hes taken hostage by rapunzel  a beautiful and feisty tower-bound teen with 70 feet of magical  golden hair. flynns curious captor  whos looking for her ticket out of the tower where shes been locked away for years  strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade  complete with a super-cop horse  an over-protective chameleon and a gruff gang of pub thugs. byronhoward nathangreno animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick waltdisneypictures waltdisneyanimationstudios zacharylevi mandymoore donnamurphy release in the year 2010 lang en mediumLength
99861,Avengers: Age of Ultron,when tony stark tries to jumpstart a dormant peacekeeping program  things go awry and earth’s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges  it is up to the avengers to stop him from enacting his terrible plans  and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. josswhedon action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d marvelstudios primefocus revolutionsunstudios robertdowneyjr. chrishemsworth markruffalo release in the year 2015 lang en mediumLength
767,Harry Potter and the Half-Blood Prince,as harry begins his sixth year at hogwarts  he discovers an old book marked as property of the half-blood prince  and begins to learn more about lord voldemorts dark past. davidyates adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf warnerbros. heydayfilms danielradcliffe rupertgrint emmawatson release in the year 2009 lang en longMovie
209112,Batman v Superman: Dawn of Justice,fearing the actions of a god-like super hero left unchecked  gotham city’s own formidable  forceful vigilante takes on metropolis’s most revered  modern-day savior  while the world wrestles with what sort of hero it really needs. and with batman and superman at war with one another  a new threat quickly arises  putting mankind in greater danger than it’s ever known before. zacksnyder action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse dccomics atlasentertainment warnerbros. dcentertainment cruel&unusualfilms ratpac-duneentertainment benaffleck henrycavill galgadot release in the year 2016 lang en longMovie
1452,Superman Returns,superman returns to discover his 5-year absence has allowed lex luthor to walk free  and that those he was closest too felt abandoned and have moved on. luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever  as well as ridding himself of the man of steel. bryansinger adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor dccomics legendarypictures warnerbros. badhatharryproductions brandonrouth kevinspacey katebosworth release in the year 2006 lang en longMovie
10764,Quantum of Solace,quantum of solace continues the adventures of james bond after casino royale. betrayed by vesper  the woman he loved  007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth  bond and m interrogate mr. white  who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined. marcforster adventure action thriller crime killing undercover secretagent britishsecretservice eonproductions danielcraig olgakurylenko mathieuamalric release in the year 2008 lang en mediumLength
58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works his way out of a blood debt with the ghostly davey jones  he also attempts to avoid eternal damnation. goreverbinski adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger waltdisneypictures jerrybruckheimerfilms secondmateproductions johnnydepp orlandobloom keiraknightley release in the year 2006 lang en longMovie
57201,The Lone Ranger,the texas rangers chase down a gang of outlaws led by butch cavendish  but the gang ambushes the rangers  seemingly killing them all. one survivor is found  however  by an american indian named tonto  who nurses him back to health. the ranger  donning a mask and riding a white stallion named silver  teams up with tonto to bring the unscrupulous gang and others of that ilk to justice. goreverbinski action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto waltdisneypictures jerrybruckheimerfilms infinitumnihil silverbulletproductionsii blindwinkproductions classicmedia johnnydepp armiehammer williamfichtner release in the year 2013 lang en mediumLength
49521,Man of Steel,a young boy learns that he has extraordinary powers and is not of this earth. as a young man  he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. zacksnyder action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse legendarypictures warnerbros. dcentertainment syncopy cruelandunusualfilms henrycavill amyadams michaelshannon release in the year 2013 lang en mediumLength
2454,The Chronicles of Narnia: Prince Caspian,one year after their incredible adventures in the lion  the witch and the wardrobe  peter  edmund  lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz. now  with the help of a colorful cast of new characters  including trufflehunter the badger and nikabrik the dwarf  the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir. andrewadamson adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld waltdisney waldenmedia stillkingfilms ozumifilms propeler silverbellfilms revolutionsunstudios benbarnes williammoseley annapopplewell release in the year 2008 lang en mediumLength
24428,The Avengers,when an unexpected enemy emerges and threatens global safety and security  nick fury  director of the international peacekeeping agency known as s.h.i.e.l.d.  finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe  a daring recruitment effort begins! josswhedon sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse paramountpictures marvelstudios robertdowneyjr. chrisevans markruffalo release in the year 2012 lang en mediumLength
1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow crosses paths with a woman from his past  and hes not sure if its love -- or if shes a ruthless con artist whos using him to find the fabled fountain of youth. when she forces him aboard the queen annes revenge  the ship of the formidable pirate blackbeard  jack finds himself on an unexpected adventure in which he doesnt know who to fear more: blackbeard or the woman from his past. robmarshall adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d waltdisneypictures jerrybruckheimerfilms movingpicturecompanympc johnnydepp penélopecruz ianmcshane release in the year 2011 lang en mediumLength
41154,Men in Black 3,agents j will smith and k tommy lee jones are back...in time. j has seen some inexplicable things in his 15 years with the men in black  but nothing  not even aliens  perplexes him as much as his wry  reticent partner. but when ks life and the fate of the planet are put at stake  agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner  the agency  and the future of humankind. barrysonnenfeld action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory amblinentertainment mediamagikentertainment imagenationabudhabifz hemispheremediacapital parkes/macdonaldproductions willsmith tommyleejones joshbrolin release in the year 2012 lang en mediumLength
122917,The Hobbit: The Battle of the Five Armies,immediately after the events of the desolation of smaug  bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor  fueled by the rise of the dark lord sauron. dwarves  elves and men must unite  and the hope for middle-earth falls into bilbos hands. peterjackson action adventure fantasy corruption elves dwarves orcs middle-earthtolkien hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery wingnutfilms newlinecinema warnerbros.pictures 3foot7 metro-goldwyn-mayermgm martinfreeman ianmckellen richardarmitage release in the year 2014 lang en mediumLength
1930,The Amazing Spider-Man,peter parker is an outcast high schooler abandoned by his parents as a boy  leaving him to be raised by his uncle ben and aunt may. like most teenagers  peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father  he begins a quest to understand his parents disappearance – leading him directly to oscorp and the lab of dr. curt connors  his fathers former partner. as spider-man is set on a collision course with connors alter ego  the lizard  peter will make life-altering choices to use his powers and shape his destiny to become a hero. marcwebb action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger columbiapictures lauraziskinproductions marvelentertainment andrewgarfield emmastone rhysifans release in the year 2012 lang en mediumLength
20662,Robin Hood,when soldier robin happens upon the dying robert of loxley  he promises to return the mans sword to his family in nottingham. there  he assumes roberts identity; romances his widow  marion; and draws the ire of the towns sheriff and king johns henchman  godfrey. ridleyscott action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland imagineentertainment universalpictures scottfreeproductions relativitymedia russellcrowe cateblanchett maxvonsydow release in the year 2010 lang en mediumLength
57158,The Hobbit: The Desolation of Smaug,the dwarves  bilbo and gandalf have successfully escaped the misty mountains  and bilbo has gained the one ring. they all continue their journey to get their gold back from the dragon  smaug. peterjackson adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery wingnutfilms newlinecinema warnerbros.pictures metro-goldwyn-mayermgm martinfreeman ianmckellen richardarmitage release in the year 2013 lang en longMovie
2268,The Golden Compass,after overhearing a shocking secret  precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north  unaware that its part of her destiny. chrisweitz adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel newlinecinema ingeniousfilmpartners depthoffield scholasticproductions dakotabluerichards nicolekidman danielcraig release in the year 2007 lang en mediumLength
254,King Kong,in 1933 new york  an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island  where they encounter kong  a giant ape who is immediately smitten with the leading lady. peterjackson adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur wingnutfilms universalpictures bigprimatepictures mfpvfilm naomiwatts jackblack adrienbrody release in the year 2005 lang en longMovie
597,Titanic,84 years later  a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert  brock lovett  lewis bodine  bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912  on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother  ruth dewitt bukater  and her fiancé  caledon hockley. meanwhile  a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th  1912 at 2:20 in the morning. jamescameron drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s paramountpictures twentiethcenturyfoxfilmcorporation lightstormentertainment katewinslet leonardodicaprio francesfisher release in the year 1997 lang en longMovie
271110,Captain America: Civil War,following the events of age of ultron  the collective governments of the world pass an act designed to regulate all superhuman activity. this polarizes opinion amongst the avengers  causing two factions to side with iron man or captain america  which causes an epic battle between former allies. anthonyrusso joerusso adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d studiobabelsberg marvelstudios waltdisneystudiosmotionpictures vita-raydutchproductionsiii deluxedigitalstudios chrisevans robertdowneyjr. scarlettjohansson release in the year 2016 lang en mediumLength
44833,Battleship,when mankind beams a radio signal into space  a reply comes from ‘planet g’  in the form of several alien crafts that splash down in the waters off hawaii. lieutenant alex hopper is a weapons officer assigned to the uss john paul jones  part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength. while taking on the invaders  hopper must also try to live up to the potential his brother  and his fiancées father  admiral shane  expect of him. peterberg thriller action adventure sciencefiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri universalpictures hasbro bluegrassfilms film44 taylorkitsch alexanderskarsgård rihanna release in the year 2012 lang en mediumLength
135397,Jurassic World,twenty-two years after the events of jurassic park  isla nublar now features a fully functioning dinosaur theme park  jurassic world  as originally envisioned by john hammond. colintrevorrow action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror universalstudios amblinentertainment legendarypictures fujitelevisionnetwork dentsu chrispratt brycedallashoward irrfankhan release in the year 2015 lang en mediumLength
37724,Skyfall,when bonds latest assignment goes gravely wrong and agents around the world are exposed  mi6 is attacked forcing m to relocate the agency. these events cause her authority and position to be challenged by gareth mallory  the new chairman of the intelligence and security committee. with mi6 now compromised from both inside and out  m is left with one ally she can trust: bond. 007 takes to the shadows - aided only by field agent  eve - following a trail to the mysterious silva  whose lethal and hidden motives have yet to reveal themselves. sammendes action adventure thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao columbiapictures danielcraig judidench javierbardem release in the year 2012 lang en mediumLength
558,Spider-Man 2,"peter parker is going through a major identity crisis. burned out from being spider-man  he decides to shelve his superhero alter ego  which leaves the city suffering in the wake of carnage left by the evil doc ock. in the meantime  parker still cant act on his feelings for mary jane watson  a girl hes loved since childhood. samraimi action adventure fantasy dualidentity ""loveofoneslife"" pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain columbiapictures lauraziskinproductions marvelenterprises tobeymaguire kirstendunst jamesfranco release in the year 2004 lang en mediumLength"
68721,Iron Man 3,when tony starks world is torn apart by a formidable terrorist called the mandarin  he starts an odyssey of rebuilding and retribution. shaneblack action adventure sciencefiction terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis marvelstudios robertdowneyjr. gwynethpaltrow doncheadle release in the year 2013 lang en mediumLength
